authors,title,journal,volume,issue,pages,article_nr,year,doi,peer_reviewed_article,preprint,github,osf,video,walkthrough,pdf
"Taylor, J. E., Beith, A., & Sereno, S. C.",LexOPS: An R package and user interface for the controlled generation of word stimuli,Behavior Research Methods,52,6,2372-2382,,2020,10.3758/s13428-020-01389-1,https://doi.org/10.3758/s13428-020-01389-1,https://psyarxiv.com/7sudw/,https://github.com/JackEdTaylor/LexOPS,,https://jackedtaylor.github.io/SIPS2021/,https://jackedtaylor.github.io/LexOPSdocs/,
Buchanan et al.,SPAML: Semantic Priming Across Many Languages,Nature Human Behavior,,,Accepted in Principle as Registered Report,,2021,10.31219/osf.io/q4fjy,,https://osf.io/q4fjy/,,https://osf.io/wrpj4/,,,
"Yao, B., Taylor, J. E., & Sereno, S. C.",What can size tell us about abstract conceptual processing?,Journal of Memory and Language,127,,,104369,2022,10.1016/j.jml.2022.104369,https://doi.org/10.1016/j.jml.2022.104369,https://psyarxiv.com/7dnye/,,https://osf.io/vpkze/,,,
"Taylor, J. E., Rousselet, G. A., Scheepers, S., & Sereno, S. C.",Rating norms should be calculated from Cumulative Link Mixed Effects Models,Behavior Research Methods,,,In Press,,2022,10.31234/osf.io/3vgwk,,https://psyarxiv.com/3vgwk/,https://github.com/JackEdTaylor/shinynorms,https://osf.io/ntvmf/,,,
"Taylor, J. E.",,The Processing of Orthography in Visual Word Recognition and its Sensitivity to Top-Down Modulation [PhD],,,"[Doctoral Thesis, University of Glasgow]",,2022,,,,,,,,https://theses.gla.ac.uk/83081/
